"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Mississippi St.",69.0093,152,67.2186,176,115.411,36,119.184,18,99.464,61,97.06,35,22.1237,23
"2025","Mississippi Valley St.",65.9599,300,64.2959,320,76.3643,364,83.5078,364,128.277,364,123.335,364,-39.827,364
"2025","Missouri",69.7381,110,67.4359,169,119.273,11,118.869,23,98.8762,52,99.2075,55,19.6611,30
"2025","Missouri St.",64.3112,347,63.3118,343,102.858,235,102.447,243,111.364,300,110.129,242,-7.68205,251
"2025","Monmouth",68.8911,156,67.0704,186,98.9511,302,99.9012,296,110.382,284,110.227,245,-10.3258,286
"2025","Montana",68.7806,166,67.9496,141,104.368,203,105.046,205,113.281,326,110.571,254,-5.52456,228
"2025","Montana St.",67.2873,233,66.0307,232,105.123,188,105.777,192,106.968,210,107.427,197,-1.65043,191
"2025","Morehead St.",65.512,322,64.4351,307,99.418,295,100.757,281,105.561,183,109.444,232,-8.68626,264
"2025","Morgan St.",72.1725,25,70.5088,34,104.145,210,102.875,236,117.464,351,118.628,355,-15.7527,329
"2025","Mount St. Mary's",68.8697,159,68.0917,133,98.514,310,97.1408,336,104.964,167,107.857,205,-10.7163,291
"2025","Murray St.",65.9991,299,64.6095,300,106.816,159,108.164,144,105.313,177,105.453,148,2.71063,134
"2025","N.C. State",65.0233,332,64.0887,326,107.3,145,109.882,120,103.825,132,102.647,101,7.23432,97
"2025","Navy",67.2069,236,66.728,204,103.68,218,102.095,251,106.697,198,111.656,277,-9.56181,277
"2025","Nebraska",69.6537,116,67.6401,158,107.52,144,111.703,85,101.303,86,97.2355,39,14.4671,52
"2025","Nebraska Omaha",68.5188,179,67.1561,180,108.118,129,107.602,158,109.905,271,111.009,265,-3.40756,209
"2025","Nevada",64.6508,341,62.4439,352,111.716,70,113.457,68,104.297,148,103.503,112,9.95414,85
"2025","New Hampshire",68.8919,155,66.9218,190,93.8609,348,92.9289,360,113.628,330,114.993,330,-22.0646,361
"2025","New Mexico",74.1322,5,72.7741,7,108.362,125,111.916,81,96.7389,33,97.2171,38,14.6994,51
"2025","New Mexico St.",67.1679,239,65.6244,251,102.254,248,104.178,219,102.734,111,103.193,108,0.984704,154
"2025","New Orleans",70.5548,69,69.52,61,94.9508,342,97.7916,326,117.743,352,115.581,338,-17.7889,348
"2025","Niagara",63.9136,355,63.8708,330,102.745,238,101.392,268,110.001,274,115.49,335,-14.0983,319
"2025","Nicholls",69.1361,144,68.4394,111,102.635,243,104.788,209,106.128,189,107.743,204,-2.95456,200
"2025","NJIT",65.8094,305,64.9987,279,90.9026,358,90.3569,361,107.883,226,110.041,241,-19.6841,354
"2025","Norfolk St.",67.1263,242,66.1534,227,109.509,101,108.382,135,105.782,187,107.904,206,0.478292,165
"2025","North Alabama",67.695,215,66.9019,194,112.683,61,110.336,111,105.467,179,107.502,198,2.83363,132
"2025","North Carolina",73.0518,19,71.8024,14,111.7,71,116.022,46,103.186,119,98.1292,48,17.8933,38
"2025","North Carolina A&T",71.7649,35,71.5133,17,100.89,275,100.148,288,113.116,324,115.751,340,-15.6031,328
"2025","North Carolina Central",69.0192,150,66.3244,221,104.297,205,102.985,233,112.334,313,114.929,329,-11.9444,304
"2025","North Dakota",70.7637,64,68.9068,87,107.899,132,107.775,155,118.275,357,117.373,349,-9.59784,278
"2025","North Dakota St.",66.5426,273,64.999,278,121.869,3,117.079,37,110.445,285,111.24,267,5.83876,103
"2025","North Florida",72.7436,23,71.3881,21,110.927,82,112.924,72,118.492,358,118.532,353,-5.60811,231
"2025","North Texas",61.4654,361,60.9002,361,113.115,55,112.588,77,97.8256,41,97.7059,45,14.8824,50
"2025","Northeastern",67.9274,208,67.8733,145,103.37,226,104.019,222,103.683,129,106.954,184,-2.93499,199
"2025","Northern Arizona",67.7618,212,66.8401,198,107.946,131,104.245,216,108.286,234,110.676,258,-6.43038,239
"2025","Northern Colorado",69.5458,124,68.7163,98,111.884,68,110.073,115,108.995,249,109.308,228,0.765481,160
"2025","Northern Illinois",70.2086,90,69.0369,80,92.0903,354,94.8215,350,113.767,331,113.387,310,-18.5653,350
"2025","Northern Iowa",65.8538,304,64.4701,304,113.568,52,111.274,90,103.985,141,106.102,160,5.1717,105
"2025","Northern Kentucky",65.8081,306,64.273,321,98.4662,311,98.4296,316,105.267,174,106.237,166,-7.80783,255
"2025","Northwestern",67.0667,245,64.6409,299,108.216,128,112.48,78,100.285,78,96.7595,32,15.7209,46
"2025","Northwestern St.",64.429,345,63.5799,338,99.6731,292,101.592,260,108.511,241,109.187,224,-7.59467,250
"2025","Notre Dame",65.7742,308,64.3547,312,112.96,58,116.544,40,106.768,203,105.698,155,10.8463,76
"2025","Oakland",63.0379,359,61.609,359,103.365,227,106.777,173,109.926,273,107.641,202,-0.864211,180
